car,price,body,mileage,engV,engType,registration,year,model,drive
Renault,12500,vagon,150,1.5,Diesel,yes,2011,Kangoo ïàññ.,front
Daewoo,5000,hatch,45,0.8,Petrol,yes,2011,Matiz,front
Mercedes-Benz,43500,other,51,3,Diesel,yes,2014,E-Class,rear
Volkswagen,19999,sedan,107,1.8,Petrol,yes,2011,Passat B7,front
Ford,1199,hatch,1,1.3,Petrol,yes,1988,Escort,front
Volkswagen,32400,crossover,50,2,Diesel,yes,2014,Tiguan,full
Renault,6600,van,184,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Volkswagen,18200,crossover,179,2.5,Diesel,yes,2007,Touareg,full
Citroen,12999,hatch,78,1.4,Diesel,yes,2013,DS3,front
Mercedes-Benz,12950,sedan,197,2.7,Diesel,yes,2002,E-Class,rear
Opel,8150,vagon,180,1.3,Diesel,yes,2008,Astra H,front
Volkswagen,8950,sedan,140,1.6,Petrol,yes,2012,Polo,front
Mitsubishi,11100,vagon,132,2.4,Gas,yes,2006,Grandis,front
Chevrolet,5450,hatch,88,1.5,Other,yes,2008,Aveo,front
Honda,5999,crossover,260,2,Gas,yes,2000,CR-V,front
Subaru,0,crossover,114,3,Petrol,yes,2009,Outback,full
BMW,37700,crossover,108,3,Petrol,yes,2011,X3,full
VAZ,1350,hatch,21,1.3,Petrol,yes,1988,2108,front
Seat,9900,vagon,178,1.2,Diesel,yes,2012,Ibiza,front
Volkswagen,8950,sedan,133,1.6,Petrol,yes,2012,Polo,front
Toyota,9950,sedan,140,1.4,Petrol,yes,2012,Corolla,front
Smart,5400,hatch,143,0.8,Diesel,yes,2004,Fortwo,rear
Renault,11950,vagon,177,1.5,Diesel,yes,2011,Megane,front
VAZ,507.585,sedan,165,NA,Other,yes,1977,2101,
VAZ,4350,hatch,115,1.6,Gas,yes,2011,2114,front
Volkswagen,6300,crossover,213,2.5,Diesel,no,2004,Touareg,
BMW,3999,sedan,238,1.8,Petrol,yes,1996,318,rear
Chery,3150,hatch,70,1.1,Petrol,yes,2008,QQ,front
Peugeot,2350,sedan,203,2.2,Diesel,no,2002,607,front
Skoda,4700,sedan,215,1.9,Diesel,no,2007,Superb,front
BMW,47777,crossover,142,3,Other,yes,2011,X6,full
GAZ,2000,sedan,70,70,Petrol,yes,1968,21,rear
Fiat,7000,van,127,1.3,Diesel,yes,2013,Doblo ãðóç.,front
Nissan,8700,hatch,77,1.4,Petrol,yes,2011,Note,front
BMW,85555,sedan,10,3,Other,yes,2015,6 Series Gran Coupe,full
Peugeot,6000,van,210,1.6,Diesel,yes,2007,Partner ãðóç.,front
Opel,2900,sedan,294,1.6,Petrol,yes,1992,Vectra A,front
Toyota,11400,sedan,118,1.4,Petrol,yes,2010,Corolla,front
Nissan,7900,vagon,133,1.8,Gas,yes,2006,Primera,front
Peugeot,5500,sedan,214,2.7,Diesel,yes,2007,607,full
VAZ,400,sedan,10,1.1,Petrol,yes,1982,2101,rear
Suzuki,11900,crossover,59,1.6,Petrol,yes,2014,SX4,front
Toyota,9800,other,250,1.8,Petrol,yes,2000,Celica,front
VAZ,1300,sedan,114,1.3,Petrol,yes,1991,2106,rear
Opel,9550,hatch,67,1.6,Petrol,yes,2012,Astra H,front
Porsche,55555,crossover,75,4.8,Petrol,yes,2011,Cayenne,full
Peugeot,10700,vagon,85,1.6,Gas,yes,2011,3008,front
Opel,2754,hatch,297,1,Gas,yes,2000,Corsa,front
VAZ,1299,vagon,78,1.5,Gas,yes,1996,2104,rear
Mitsubishi,22900,crossover,69,2.4,Petrol,yes,2014,Outlander XL,full
Mitsubishi,22900,crossover,69,2.4,Petrol,yes,2014,Outlander,full
Peugeot,9900,hatch,63,1.6,Diesel,yes,2012,308,
Mercedes-Benz,11500,van,307,2.2,Diesel,yes,2007,Vito ïàññ.,rear
Skoda,8300,sedan,271,1.8,Petrol,yes,2008,Superb,front
Honda,3500,sedan,100,2.4,Other,no,2007,Accord,front
Aston Martin,125000,sedan,12,6,Petrol,yes,2011,Rapide,rear
Infiniti,26300,crossover,120,NA,Other,yes,2009,FX 35,
Audi,33900,sedan,58,2,Petrol,yes,2014,A5,full
Mercedes-Benz,50800,crossover,30,3.5,Diesel,yes,2013,ML 350,full
Dodge,81000,other,1,3,Diesel,yes,2016,RAM,full
Audi,98000,other,12,5.2,Petrol,yes,2012,R8,full
Mercedes-Benz,60000,crossover,140,5.5,Gas,yes,2008,G 55 AMG,full
Lexus,50500,crossover,9,2,Petrol,yes,2016,NX 200,full
BMW,30000,sedan,78,3.8,Petrol,yes,1993,M5,rear
Mercedes-Benz,63000,crossover,86,5.5,Petrol,yes,2009,G 55 AMG,full
BMW,1900,vagon,285,2.5,Diesel,no,1997,525,rear
Skoda,11700,sedan,190,1.8,Gas,yes,2008,Octavia Tour,front
Opel,5600,sedan,170,3.2,Petrol,yes,2002,Omega,rear
Ford,10200,vagon,115,1.6,Petrol,yes,2012,Focus,front
Renault,6299,van,66,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Volkswagen,5000,hatch,190,NA,Petrol,yes,1998,Golf IV,front
Daewoo,2500,sedan,360,2,Petrol,yes,1998,Espero,front
Chevrolet,6200,hatch,70,1.6,Petrol,yes,2009,Lacetti,front
Volkswagen,4000,crossover,137,2.5,Diesel,no,2004,Touareg,
Ford,16000,van,26,1.6,Diesel,yes,2014,Tourneo Connect ïàññ.,front
Kia,3400,sedan,140,1.3,Petrol,yes,2002,Rio,front
BMW,0,sedan,99,4.4,Petrol,yes,2013,Alpina,full
Ford,7099,sedan,182,2,Petrol,yes,2006,Mondeo,front
Toyota,8200,crossover,200,2,Gas,yes,2002,Rav 4,full
VAZ,3300,sedan,170,1.5,Gas,yes,2005,21099,front
Renault,7300,van,125,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
BMW,5500,sedan,200,3.5,Gas,yes,1998,535,rear
Renault,7300,van,154,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
VAZ,2300,hatch,15,1.5,Petrol,yes,1994,2108,front
Renault,6700,van,102,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
VAZ,2700,sedan,135,1.5,Gas,yes,2005,2109,front
Renault,7200,van,101,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Mercedes-Benz,5500,sedan,360,2,Gas,yes,1994,E-Class,rear
Renault,7100,van,171,1.5,Diesel,yes,2013,Kangoo ãðóç.,front
Hyundai,17599,crossover,58,2,Petrol,yes,2011,IX35,front
Renault,6700,van,160,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
SsangYong,11699,crossover,130,2.7,Diesel,yes,2008,Rexton II,full
Renault,7150,van,142,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Renault,7800,van,139,1.5,Diesel,yes,2013,Kangoo ãðóç.,front
Renault,7200,van,146,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Renault,6700,van,118,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Renault,7200,van,123,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Nissan,8399,sedan,34,1.6,Petrol,yes,2008,TIIDA,front
Skoda,7500,hatch,63,1.2,Petrol,yes,2012,Fabia,front
Opel,10800,van,136,2,Diesel,yes,2012,Vivaro ãðóç.,front
Hyundai,7400,hatch,59,1.4,Petrol,yes,2008,Getz,front
Opel,5400,sedan,185,2,Petrol,yes,1998,Vectra B,front
Kia,6900,sedan,79,1.4,Other,yes,2010,Rio,front
Volkswagen,7700,van,157,1.9,Diesel,yes,2006,Caddy ïàññ.,
Hyundai,36500,crossover,0,2,Diesel,yes,2016,Tucson,full
Volvo,40300,crossover,2,2,Diesel,yes,2016,XC60,
Renault,7850,van,187,1.5,Diesel,yes,2010,Kangoo ïàññ.,
Mercedes-Benz,159999,other,0,3,Petrol,yes,2016,S 400,full
Hyundai,2100,crossover,230,2.5,Diesel,no,1998,Galloper,full
Skoda,7000,hatch,89,1.4,Petrol,yes,2010,Fabia,front
Kia,8500,hatch,120,1.6,Diesel,yes,2008,Ceed,front
Porsche,20700,crossover,153,4.8,Petrol,yes,2007,Cayenne,full
Volkswagen,16950,sedan,38,2,Diesel,yes,2014,Jetta,front
BMW,7100,sedan,313,2,Gas,yes,1997,520,rear
Lexus,21900,crossover,160,4.7,Petrol,yes,2004,GX,full
Land Rover,103999,crossover,39,5,Other,yes,2013,Range Rover,full
Opel,5400,vagon,213,1.7,Diesel,yes,2004,Combo ïàññ.,front
VAZ,3800,sedan,98,1.6,Petrol,yes,2006,2110,front
UAZ,2500,crossover,1,2.4,Petrol,yes,1995,31512,full
Toyota,29000,vagon,60,2.2,Diesel,yes,2013,Rav 4,full
ËUAZ,3500,crossover,37,1.2,Gas,yes,1994,1302,full
VAZ,2500,hatch,57,1.5,Petrol,yes,2001,2109,front
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai,full
VAZ,3500,sedan,165,1.5,Petrol,yes,2007,2110,front
BMW,8999,sedan,270,2.8,Petrol,yes,1998,528,rear
Audi,2800,sedan,230,2.8,Petrol,yes,1997,A8,front
Citroen,6300,van,137,2,Gas,yes,2003,Xsara Picasso,front
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai+2,full
Fisker,0,other,100,NA,Other,yes,2001,Karma,
Mitsubishi,8100,sedan,112,2.4,Petrol,yes,2007,Galant,front
Toyota,1750,hatch,270,1.6,Petrol,yes,1985,Corolla,front
Land Rover,44500,crossover,64,5,Petrol,yes,2011,Range Rover Sport,full
Nissan,25800,crossover,96,1.6,Diesel,yes,2014,Qashqai,front
Honda,40900,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Honda,40900,crossover,0,1.6,Diesel,yes,2016,CR-V,full
Volkswagen,55555,van,53,2,Diesel,yes,2013,Multivan,full
Renault,7700,van,128,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Volkswagen,55555,van,50,2,Diesel,yes,2013,Multivan,full
Volkswagen,55555,van,63,2,Diesel,yes,2013,Multivan,full
Kia,2800,sedan,250,1.8,Petrol,yes,1997,Clarus,front
Chevrolet,4300,crossover,150,1.7,Petrol,yes,2004,Niva,full
ZAZ,6400,hatch,100,1.4,Petrol,yes,2012,Vida,front
Mercedes-Benz,8800,other,575,2.2,Diesel,yes,2006,Sprinter 313 ãðóç.,rear
Volkswagen,3800,sedan,300,2.8,Gas,yes,1996,Passat B4,front
Volkswagen,1450,van,100,1.6,Diesel,yes,1988,T3 (Transporter),front
BMW,47300,crossover,10,2,Diesel,yes,2016,X3,full
VAZ,3600,hatch,62,1.6,Petrol,yes,2008,21093,front
BMW,3990,sedan,350,2.5,Petrol,yes,1995,525,rear
Ford,3900,other,260,2.2,Petrol,yes,1991,Probe,front
Chrysler,3900,van,400,2.5,Diesel,no,2003,Grand Voyager,front
Peugeot,8200,hatch,34,1,Petrol,yes,2013,107,front
Opel,4699,sedan,302,2.5,Gas,yes,1997,Omega,rear
Dacia,1852.5,sedan,200,1.4,Petrol,yes,2003,Solenza,front
Volkswagen,5000,sedan,81,NA,Other,no,2013,Passat B7,
Audi,12000,sedan,9,NA,Petrol,no,2015,A4,
Nissan,2900,sedan,300,2,Petrol,yes,1995,Primera,front
Peugeot,7700,hatch,39,1,Petrol,yes,2012,107,front
Mercedes-Benz,7000,sedan,230,2,Gas,yes,2000,E-Class,rear
Daewoo,3900,sedan,123,NA,Gas,yes,2007,Lanos,front
Geely,3200,sedan,23,1.5,Other,yes,2013,CK,front
Mazda,7500,hatch,144,NA,Petrol,yes,2006,3,front
Nissan,17900,crossover,115,2.5,Diesel,yes,2009,Pathfinder,full
Renault,0,van,195,1.5,Diesel,yes,2013,Grand Scenic,front
Renault,10900,vagon,180,1.5,Diesel,yes,2012,Megane,front
Toyota,14900,crossover,124,4,Petrol,yes,2006,Fortuner,full
Hyundai,11999,vagon,55,1.6,Diesel,yes,2012,i30,front
Mitsubishi,2020,other,90,NA,Other,no,2008,L 200,
Opel,1399,vagon,267,1.7,Diesel,no,1998,Astra G,front
Audi,18800,crossover,197,4.2,Petrol,yes,2007,Q7,full
Hyundai,5850,crossover,20,2,Diesel,yes,2014,IX35,full
Porsche,20500,crossover,195,3.6,Other,yes,2007,Cayenne,full
Geely,5350,hatch,51,1.5,Petrol,yes,2012,MK Cross,front
Volkswagen,2850,vagon,450,1.6,Diesel,yes,1988,Passat B2,front
Honda,15200,other,90,3.5,Gas,yes,2008,Accord,front
Kia,8400,hatch,94,1.6,Diesel,yes,2007,Ceed,front
Nissan,4000,hatch,18,NA,Other,no,2015,Leaf,
Mercedes-Benz,169000,van,1,3,Diesel,yes,2014,Sprinter 319 ïàññ.,full
Nissan,3800,hatch,21,NA,Other,no,2013,Leaf,
Daewoo,3950,sedan,67,1.3,Petrol,yes,2010,Sens,front
Mazda,13300,crossover,122,2.3,Gas,yes,2010,CX-7,full
Geely,4250,sedan,80,1.6,Petrol,yes,2008,MK,front
VAZ,666.9,sedan,70,1.3,Petrol,yes,1983,2101,rear
Opel,7900,vagon,100,1.3,Diesel,yes,2010,Astra H,front
Ford,8000,sedan,107,1.6,Petrol,yes,2008,Focus,front
VAZ,3650,vagon,118,1.6,Petrol,yes,2006,2111,front
Hyundai,5700,sedan,118,1.4,Petrol,yes,2007,Accent,front
VAZ,3500,sedan,108,1.6,Petrol,yes,2008,2115,front
Chery,3550,hatch,65,0.8,Petrol,yes,2006,QQ,front
Kia,8500,sedan,117,2,Diesel,yes,2007,Magentis,front
SsangYong,8500,other,102,2,Diesel,yes,2009,Actyon Sports,full
Ford,10000,hatch,19,1,Petrol,yes,2013,Fiesta,front
Renault,6750,van,155,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
BMW,55500,crossover,90,3,Diesel,yes,2013,X5 M,full
Skoda,12555,sedan,116,1.8,Petrol,yes,2009,Superb,
Daewoo,3500,sedan,341,99.99,Petrol,yes,1996,Espero,front
Volkswagen,35999,crossover,84,3,Diesel,yes,2011,Touareg,full
Kia,14777,crossover,119,2.5,Diesel,yes,2009,Sorento,full
BMW,22500,sedan,179,3,Diesel,yes,2007,730,rear
Volkswagen,6250,hatch,170,1.4,Petrol,yes,2001,Golf IV,front
Mitsubishi,18999,crossover,121,3.8,Gas,yes,2008,Pajero Wagon,full
VAZ,1240,vagon,12,1.5,Petrol,yes,1998,2104,rear
Daewoo,4950,sedan,65,1.5,Petrol,yes,2012,Lanos,front
Nissan,12999,crossover,130,2,Petrol,yes,2008,Qashqai,full
Toyota,14200,sedan,31,NA,Petrol,yes,2014,Corolla,
Subaru,13500,hatch,62,2,Petrol,yes,2010,XV,full
Volkswagen,12999,van,160,2,Diesel,yes,2011,T6 (Transporter) ïàññ.,front
Jeep,12500,crossover,152,2.4,Petrol,yes,2008,Patriot,full
Isuzu,13960,other,122,2.5,Diesel,yes,2011,D-Max,full
Audi,13333,other,178,2,Diesel,yes,2008,A6,front
Changan,6028,crossover,101,NA,Other,yes,2005,Ideal,
Skoda,8800,sedan,20,1.6,Petrol,yes,2007,Octavia A5,front
Chevrolet,6300,vagon,138,1.8,Petrol,yes,2009,Lacetti,front
Nissan,20999,crossover,69,1.6,Petrol,yes,2014,Juke Nismo,full
Toyota,13700,sedan,48,1.4,Diesel,yes,2013,Corolla,front
Audi,19500,crossover,186,4.2,Petrol,yes,2006,Q7,full
Mercedes-Benz,4150,other,277,2.2,Diesel,yes,2000,Vito ïàññ.,front
Toyota,12500,sedan,138,3.5,Petrol,yes,2007,Camry,front
Lexus,33700,crossover,82,3.5,Other,yes,2010,RX 450,full
Kia,11500,other,110,2,Petrol,yes,2012,Koup,front
BMW,9900,other,93,2.5,Petrol,yes,2003,Z4,rear
Audi,39800,sedan,180,4.2,Other,yes,2012,A8,full
VAZ,1000,sedan,10,8,Petrol,yes,1982,2101,rear
Mazda,6700,hatch,170,1.6,Petrol,yes,2004,3,front
Acura,38200,sedan,4,2.4,Petrol,yes,2015,TLX,front
BMW,39900,sedan,5,2,Petrol,yes,2016,520,rear
Toyota,12200,sedan,157,2.4,Gas,yes,2009,Camry,front
BMW,115800,crossover,4,3,Diesel,yes,2016,X5 M,full
Citroen,11500,hatch,100,1.6,Diesel,yes,2013,C4,front
Audi,7950,vagon,167,2.5,Diesel,yes,2000,A6,full
Honda,18700,sedan,75,2,Gas,yes,2011,Accord,front
Volkswagen,8500,hatch,141,2,Petrol,yes,2000,Beetle,front
Kia,6800,sedan,115,1.4,Gas,yes,2008,Rio,front
Chevrolet,4999,sedan,150,1.6,Gas,yes,2008,Aveo,front
Audi,2300,vagon,25,2.5,Diesel,no,1999,A6,front
Hyundai,19500,crossover,65,2,Diesel,yes,2011,IX35,full
Toyota,12400,hatch,52,1.4,Other,yes,2012,Prius,front
Honda,11000,hatch,74,1.4,Other,yes,2010,Civic,front
Honda,11000,hatch,74,1.4,Other,yes,2010,Insight,front
Honda,13300,hatch,53,1.4,Other,yes,2012,Insight,front
Opel,19200,hatch,54,1.4,Other,yes,2012,Ampera,front
Toyota,11000,hatch,74,1.4,Other,yes,2010,Prius,front
Toyota,19200,hatch,54,1.4,Other,yes,2012,Prius,front
Chevrolet,19200,hatch,54,1.4,Other,yes,2012,Volt,front
Hyundai,20300,crossover,83,2,Diesel,yes,2011,IX35,full
Honda,12400,hatch,52,1.4,Other,yes,2012,Insight,front
Volkswagen,21000,vagon,58,2,Diesel,yes,2013,Passat B7,front
Skoda,16999,hatch,57,1.8,Petrol,yes,2013,Octavia A7,front
Skoda,16999,sedan,57,1.8,Petrol,yes,2013,Octavia A7,front
Ford,1190,hatch,111,1.4,Petrol,yes,1988,Escort,front